post_id	post_content	post_accessibility_content	post_hashtags	post_user_tags	post_like_count	post_comment_count	post_date	post_is_video	post_is_ad
B9B4GrEHamf	💆 What is one item many of us use in our beauty regime daily? Single-use cotton pads.⠀. ⠀. We often use cotton pads to put on our toner or with make-up remover to take off make-up.⠀. ⠀. Cotton requires a large amount of pesticide and water to produce. Pesticides deplete soil quality and as a result, leach into water systems, affecting animals and people living near cotton farms. In addition, an overwhelming 20,000 litres of water is needed to produce only 1kg of cotton, according to the World Wildlife Fund (WWF).⠀. ⠀. That’s a lot of resources consumed for a single-use product!⠀. ⠀. But, don’t worry! Reducing the environmental impact of cotton is simple. You can easily replace single-use cotton pads with reusable ones. Alternatively, you could pour your toner into spray bottles, avoiding the cotton altogether!⠀. ⠀. Interested to know how you can be more sustainable? Follow the Sustainable Singapore Gallery on Facebook and Instagram at @ssgallery.sg!⠀. .⠀. .⠀. .⠀. .⠀. #SustainableSingaporeGallery #MarinaBarrage #PUBSingapore #Singapore #ZeroWasteSG #SustainableSingapore #EcoTips #EnvironmentallyConscious #CottonPad #Cotton #Reusable #Reusables		#SustainableSingaporeGallery | #MarinaBarrage | #PUBSingapore | #Singapore | #ZeroWasteSG | #SustainableSingapore | #EcoTips | #EnvironmentallyConscious | #CottonPad | #Cotton | #Reusable | #Reusables	@ssgallery.sg	10	0	2020-02-26 20:00:51	False	False
B9A5wTHHjMP	Which is your favourite print? . I definitely love 💕 these rainbow 🌈  colours.. There’s no need to be boring on reducing waste 😉. #unpapertowels. 🌈🌈🌈🌈🌈🌈🌈🌈🌈 #singaporemade #zerowaste #zerowastesg #zerowastelife . #journeytozerowaste. #journeytozerowastesg  #reusereducerecycle  #supportlocalsg #supportlocal. #wastefree #zerowastelife #lowimpactliving #sgmoms #ecomom #lesswaste  #singapore🇸🇬 #reusables #greenmom		#unpapertowels | #singaporemade | #zerowaste | #zerowastesg | #zerowastelife | #journeytozerowaste | #journeytozerowastesg | #reusereducerecycle | #supportlocalsg | #supportlocal | #wastefree | #zerowastelife | #lowimpactliving | #sgmoms | #ecomom | #lesswaste | #singapore🇸🇬 | #reusables | #greenmom		30	0	2020-02-26 10:55:57	False	False
B8-jGv2H8yf	*Some sushi, anyone?*. ⠀⠀⠀⠀⠀⠀⠀⠀⠀. Ohai everyone! I’m posting this from Nagano today; we took the Shinkansen 🚅 from Tokyo yesterday, amidst the discomfort of suspected food poisoning 🤢 and crashed at 9 last night after a dinner of clear broth and pho. I don’t feel I’m ready for food yet, which is a shame because the food in Japan is really good. We did a couple of walk-ins and have not been disappointed. It’s 1pm now and so far I’ve had some coffee, half a sandwich, and a third of an apple (that a shopkeeper at Obuse gave me, where we bought some “special” dried shitake mushrooms that you need to pre-soak for 30 hours in the fridge).. ⠀⠀⠀⠀⠀⠀⠀⠀⠀. I thought I’d share my (well, @njingyi’s) sushi snack baggie since 🍣 and 🇯🇵. And repost @meiangiez’s sushi coffee cup strap. They look awesome as a matchy set. I’ve been on the hunt for more sushi prints  but haven’t found any; how ironic that this lovely sushi print is from the US?. ⠀⠀⠀⠀⠀⠀⠀⠀⠀. Ha r a lovely Tuesday and I’ll post more on stories later 🍣💛🇯🇵🚅. ⠀⠀⠀⠀⠀⠀⠀⠀⠀. ⠀⠀⠀⠀⠀⠀⠀⠀⠀. #snackbag #snackbaggie #reusablebag #reusablesnackbag #reusablefoodbag #reusablesandwichbag #reusablecoffeecup #coffeecupstrap #coffeetogo #coffeeonthego #zerowastecoffee #reusable #reusables #saynotosingleuse #saynotosingleuseplastic #zerowaste #zerowastesg #zerowastesingapore #zerowasteonthego #zerowasteinspo #zerowasteliving #zerowastemovement #zerowastelifestyle #flatlay #expatsingapore #reusablealternatives #sgexpats #butfirstcoffee #zerowastetravel #zakka		#snackbag | #snackbaggie | #reusablebag | #reusablesnackbag | #reusablefoodbag | #reusablesandwichbag | #reusablecoffeecup | #coffeecupstrap | #coffeetogo | #coffeeonthego | #zerowastecoffee | #reusable | #reusables | #saynotosingleuse | #saynotosingleuseplastic | #zerowaste | #zerowastesg | #zerowastesingapore | #zerowasteonthego | #zerowasteinspo | #zerowasteliving | #zerowastemovement | #zerowastelifestyle | #flatlay | #expatsingapore | #reusablealternatives | #sgexpats | #butfirstcoffee | #zerowastetravel | #zakka	@njingyi | @meiangiez	60	2	2020-02-25 12:59:34	False	False
B8-Ory4njXh	| #homecooked |.. Our simple, eggless take on #滷肉飯 or Taiwan Braised Pork Rice and braised cabbage make for an easy 'chop-chop' meal-to-go (used a splash of balsamic vinegar for a more tangy vibe) 🥢. .. .. .. #byo #lunchbox #bringyourownlunchbox #ecolunchbox #reusablelunchbox #byokit #bringyourownkit #ibringmyownsg #byosingapore #reusable #reusables #reusablecontainer #ecolife #ecofriendly #ecolifestyle #whatsinmybag  #reduceplastic #plasticfree #saynotosingleuseplastic #nosingleuse #nodisposables #foodshare #realfood #foodiesofinstagram #devourpower #tastingtable #bentobox. .. .		#homecooked | #滷肉飯 | #byo | #lunchbox | #bringyourownlunchbox | #ecolunchbox | #reusablelunchbox | #byokit | #bringyourownkit | #ibringmyownsg | #byosingapore | #reusable | #reusables | #reusablecontainer | #ecolife | #ecofriendly | #ecolifestyle | #whatsinmybag | #reduceplastic | #plasticfree | #saynotosingleuseplastic | #nosingleuse | #nodisposables | #foodshare | #realfood | #foodiesofinstagram | #devourpower | #tastingtable | #bentobox		34	2	2020-02-25 10:01:07	False	False
B88T21wnuAa	| lavender bakery |. Bagged our fave Almond Danishes in the #ofoodin好食袋 for another #breadwithoutbags win. And took a pix whilst enjoying the breeze at the Rain Vortex cos' it was ohhh so UNcrowded. The peace and quiet at Jewel is at once disconcerting yet welcoming ... #enjoywhileitlasts 😊. .. ✅ Saved: 2 paper bags and 1 plastic carrier.. .. #reusable #reusables #ofoodin #foodbag #snackbag #bread #breads #baked #whatsinmybag #nosingleuse #reduceplastic #ecofriendly #ecolife #ecolifestyle #ibringmyown #ibringmyownsg #byosingapore #byo #byobsg #byobag #byo #byokit #bringyourownkit #zerowaste #projectbecome. .. .. .		#ofoodin好食袋 | #breadwithoutbags | #enjoywhileitlasts | #reusable | #reusables | #ofoodin | #foodbag | #snackbag | #bread | #breads | #baked | #whatsinmybag | #nosingleuse | #reduceplastic | #ecofriendly | #ecolife | #ecolifestyle | #ibringmyown | #ibringmyownsg | #byosingapore | #byo | #byobsg | #byobag | #byo | #byokit | #bringyourownkit | #zerowaste | #projectbecome		21	2	2020-02-24 16:07:50	False	False
B85V_yolUAa	🎋 BAMBOO STRAWS 🎋⁣. ⁣. Have you tried one before? Our reusable bamboo straws are handmade. Now you can enjoy a refreshing drink with a bamboo straw right from your home.. ⁣. Did you know our bamboo straws are:⁣ • Naturally antibacterial 💚⁣. • 100% natural product 🌱⁣. • Drinkable with hot or cold drinks 🍵⁣. • Biodegradable ♻️⁣. • Dishwasher Friendly ✅⁣. • Doesn’t chip your teeth 🔨⁣. • Taste like a tropical holiday 🏝⁣. • Looks pretty darn cute 🙃⁣ Who else likes to drink their morning smoothie from a bamboo straw? 🙋‍♂️🙋‍♀️ ⁣. ⁣. Why not try one today by tapping on the photo or through the link in bio! ✨. .. .. #singaporebamboo #singaporeproduct #singaporeproducts #singaporeproducts #bamboosingapore #bamboolife #bamboolove #bambooproducts #bamboostraw #bamboostraws #bamboostrawsupplier #bambusstrohhalm #choosereusables #ecobrand #ecowarrior #greenproducts #plasticfrei #reusablenappy #reusablenotdisposable #reusableproducts #reusablerevolution #reusables #reusablestraw #reusablestraws #strawless #strawlessocean #strawlesssummer #singapore #zerowastesingapore		#singaporebamboo | #singaporeproduct | #singaporeproducts | #singaporeproducts | #bamboosingapore | #bamboolife | #bamboolove | #bambooproducts | #bamboostraw | #bamboostraws | #bamboostrawsupplier | #bambusstrohhalm | #choosereusables | #ecobrand | #ecowarrior | #greenproducts | #plasticfrei | #reusablenappy | #reusablenotdisposable | #reusableproducts | #reusablerevolution | #reusables | #reusablestraw | #reusablestraws | #strawless | #strawlessocean | #strawlesssummer | #singapore | #zerowastesingapore		3	0	2020-02-23 12:28:49	False	False
B82aVAGn-Ib	*Stojo owners– can you help me out?*. ⠀⠀⠀⠀⠀⠀⠀⠀⠀. Hi guys, I’m posting this from Tokyo. I didn’t want to make the trip so soon after returning from the last (it was about a month) but my friend moved to Tokyo end of last year and I wanted to visit, and I had expiring miles, and there was a redemption discount.. ⠀⠀⠀⠀⠀⠀⠀⠀⠀. I used my @stojo today to get coffee to go for the first time in Tokyo. I googled for good coffee places and found @ntscoffeetokyo that’s near the hotel and went there specially for coffee – it was good coffee, They also carry @huskeecup reusable coffee cups so I’m happy about that because I haven’t seen many people use reusable coffee cups in Tokyo.. ⠀⠀⠀⠀⠀⠀⠀⠀⠀. What I’m not so happy about is that when I’m done with my coffee, I’d like to collapse it and chuck it in my bag but imy Stojo leaks – it seems to leak only with coffee (seldom water when I test) and only a little but a little is enough. Thankfully I have my strap so I don’t lose it when I’m out and can generally have my hands free for my subway card and phone. **What about you guys, Stojo owners? Do you have similar leaky issues with your cup? Or is it just me and how do you do it? Please let me know!!! 🙏**. ⠀⠀⠀⠀⠀⠀⠀⠀⠀. Thanks a bunch for your help! 🥰. ⠀⠀⠀⠀⠀⠀⠀⠀⠀. #bringyourown #reusables #reusablecoffeecup #coffee #reusablecup #coffeecupstrap #coffeecupcarrier #coffeecupholder #zerowastecoffee #zerowasteonthego #zerowaste #zerowastesingapore #zerowastesg #saynotosingleuse #saynotodisposables #reusable #saynotodisposables #zerowasteinspo #butfirstcoffee #zerowastemaker #coffeecupholder #coffeetogo #stojo #tinkerboxinthewild #zerowastetravelhack #singaporeexpats #sgexpats #expatsg #expatsingapore #singaporeexpatwives		#bringyourown | #reusables | #reusablecoffeecup | #coffee | #reusablecup | #coffeecupstrap | #coffeecupcarrier | #coffeecupholder | #zerowastecoffee | #zerowasteonthego | #zerowaste | #zerowastesingapore | #zerowastesg | #saynotosingleuse | #saynotodisposables | #reusable | #saynotodisposables | #zerowasteinspo | #butfirstcoffee | #zerowastemaker | #coffeecupholder | #coffeetogo | #stojo | #tinkerboxinthewild | #zerowastetravelhack | #singaporeexpats | #sgexpats | #expatsg | #expatsingapore | #singaporeexpatwives	@stojo | @ntscoffeetokyo | @huskeecup	74	23	2020-02-22 09:08:56	False	False
B8yZy94nbxs	*Parts of a reusable pad and what they look like*. ⠀⠀⠀⠀⠀⠀⠀⠀⠀. Over the last week or so, I realised that I’ve always shown you the pretty side of my pads and pantyliners – that’s the *backing* or *back* side that comes into contact with your underwear. I’ve also been asked if there are sticky dots on the backing; in my design there aren’t. This is because I don’t use synthetic fabric, which has a component of plastic in them and and tends to be slippery. My pads and liners generally stay in place as long as your undies are well-fitting and snug.. ⠀⠀⠀⠀⠀⠀⠀⠀⠀. Next is the pad *topper* – the side that comes into contact with your skin. Different cloth pad makers use different materials; mine is soft unbleached cotton. There are many grades of cotton and the one I’ve selected is really soft and smooth on the skin. Being unbleached, it’s also less treated (all cloth has to be treated during manufacturing but unbleached would have skipped bleaching and the subsequent dyeing/printing of the pattern), and so is kinder to your skin, especially where your skin is thinner and more delicate (think the opposite of the skin on your feet).. ⠀⠀⠀⠀⠀⠀⠀⠀⠀. And we have the *core* inside that you don’t see, that absorbs your flow. I use various weights and types of cotton as natural fabrics are breathable, which makes wearing it more comfortable (less heat and moisture buildup) and healthy (less bacterial build up).. ⠀⠀⠀⠀⠀⠀⠀⠀⠀. No hidden plastic layer. No synthetic fabric! 🤗. ⠀⠀⠀⠀⠀⠀⠀⠀⠀. I hope you found seeing the other side of pads and pantyliners useful! 🤗💛. ⠀⠀⠀⠀⠀⠀⠀⠀⠀. #periods #reusableperiodproducts #clothpads #rumps #reusablepads #reusablepantyliners #reusablemenstrualproducts #unbleachedcotton #100percentcotton #saynotodisposable #saynotosingleuse #plasticfreeperiod #unbleachedcotton #zerowastesg #zerowastesingapore #zerowaste #zerowasteinspo #flatlay #shopeco #ecoalternatives #reusable #reusables #reusablealternatives #singleusealternatives #singaporeexpats #sgexpats #expatsg #expatsingapore #singaporeexpatwives #bekindtoplanetearth		#periods | #reusableperiodproducts | #clothpads | #rumps | #reusablepads | #reusablepantyliners | #reusablemenstrualproducts | #unbleachedcotton | #100percentcotton | #saynotodisposable | #saynotosingleuse | #plasticfreeperiod | #unbleachedcotton | #zerowastesg | #zerowastesingapore | #zerowaste | #zerowasteinspo | #flatlay | #shopeco | #ecoalternatives | #reusable | #reusables | #reusablealternatives | #singleusealternatives | #singaporeexpats | #sgexpats | #expatsg | #expatsingapore | #singaporeexpatwives | #bekindtoplanetearth		46	0	2020-02-20 19:47:20	False	False
B8xt7mgnCNG	| #homecooked #bento |.. Korean Kimchi Fried Rice, anyone? Topped with sunny side-up, Japanese furikake, sesame seed and chopped scallion, with more @bibigo.official kimchi on the side. Comfort food at its best; loving the nostalgic feels 🥢. .. #byo #lunchbox #bringyourownlunchbox #ecolunchbox #reusablelunchbox #byokit #bringyourownkit #ibringmyownsg #byosingapore #reusable #reusables #reusablecontainer #ecolife #ecofriendly #ecolifestyle #whatsinmybag  #reduceplastic #plasticfree #saynotosingleuseplastic #nosingleuse #nodisposables #foodshare #realfood #foodiesofinstagram #devourpower #tastingtable #kimchi #friedrice. .. .. .		#homecooked | #bento | #byo | #lunchbox | #bringyourownlunchbox | #ecolunchbox | #reusablelunchbox | #byokit | #bringyourownkit | #ibringmyownsg | #byosingapore | #reusable | #reusables | #reusablecontainer | #ecolife | #ecofriendly | #ecolifestyle | #whatsinmybag | #reduceplastic | #plasticfree | #saynotosingleuseplastic | #nosingleuse | #nodisposables | #foodshare | #realfood | #foodiesofinstagram | #devourpower | #tastingtable | #kimchi | #friedrice	@bibigo.official	41	3	2020-02-20 13:24:02	False	False
B8p1FfvnPAD	| brio restaurant |. Throwback to the lovely Steak and Fish plates that we had. It always helps to have a #reusablecontainer on hand to pack any leftovers (like from the Fish & Chips; Black Pepper Steak completely wiped out), cos' the portions here are generous and yummilicious to boot 🥢. .. .. ✅ Saved: 1 plastic container and plastic carrier.. .. #byo #bringyourownlunchbox #lunchbox #ecolunchbox #reusablelunchbox #byokit #bringyourownkit #bringyourown #ibringmyownsg #byosingapore #reusable #reusables #reusablecontainer #ecolife #ecofriendly #ecolifestyle #whatsinmybag #reduceplastic #plasticfree #saynotosingleuseplastic #nosingleuse #nodisposables #foodshare #realfood #devourpower #tastingtable #foodiesofinstagram .. .. .		#reusablecontainer | #byo | #bringyourownlunchbox | #lunchbox | #ecolunchbox | #reusablelunchbox | #byokit | #bringyourownkit | #bringyourown | #ibringmyownsg | #byosingapore | #reusable | #reusables | #reusablecontainer | #ecolife | #ecofriendly | #ecolifestyle | #whatsinmybag | #reduceplastic | #plasticfree | #saynotosingleuseplastic | #nosingleuse | #nodisposables | #foodshare | #realfood | #devourpower | #tastingtable | #foodiesofinstagram		33	0	2020-02-17 11:52:38	False	False
