group_id	group_url_name	group_past_event_count	group_draft_event_count	event_id	event_name	event_status	event_created_date	event_date	event_waitlist_count	event_rsvp_count	event_attendance_count	event_comment_count	event_venue	event_address	event_venue_city	event_venue_country	event_description
19728855	Singapore-Sustainability-Meet-Up	37	0	266868154	The Climate Crisis through a Systems Thinking Lens	past	2019-12-01 22:36:25	2019-12-07 13:30:00	0	4	4	0	The Good Space @ National Volunteer and Philanthropy Centre	#04-88 The Central (Clarke Quay MRT) 6 Eu Tong Sen Street	059817	Singapore	“Today’s problems are yesterday’s solutions.”. – Peter Senge. . This 4 hour ‘workshop’ will be an exploratory, experiential and skill building introduction to systems thinking. It will build on, but does not require attendance at, the previous workshop held in October. In this session, you will learn about and apply a systems thinking lens and some of the basic systems thinking tools to help us make sense of the complexity we live in. We will examine the Climate Crisis using our newfound systems thinking tools, however, other topics and matters will be explored as well.. . If you attended the previous workshop, please do come to this session as we will deepen your learning by applying the tools in ways we did not have time to before. There will also be a continued dialogue on what this means for how we see ourselves and others via a systems lens.. . Topics and tools include:. - Non-linearity and cause and effect relationships. - Senge’s Laws of Complexity. - Mapping Feedback loops. - Systems Archetypes. - The Climate Crisis and other topics around sustainability.. . Come share in the learning experience and a different conversation. This workshop has been provided at a greatly reduced entrance fee, covering venue and food costs, in order to promote a new level of awareness and thinking.. . We look forward to seeing you there!. . DATE & TIME:. 1.30pm - 5.30pm. Saturday, 7 December 2019. . VENUE:. A Good Space (NVPC). Clarke Quay Central. 6 Eu Tong Sen Street, #04-88. Singapore[masked]. . NVPC: National Volunteer & Philanthropy Centre. . DIRECTIONS:. Directly above Clarke Quay MRT. . About the Facilitator:. . Garrett Weiner is a leadership development consultant and coach, who holds closely the values of integrity, responsibility and compassion. His company, Alignment Coaching & Consulting, works with leaders and teams to open up new understandings and higher levels of sustainable and responsible performance. He is a ‘Climate Leader’ with Al Gore’s Climate Reality Project and a founding member of Mother Earth Toastmasters Club.. . About the Venue:. . This event is co-hosted with A Good Space – where changemakers flourish as a community to imagine and create experiences that expand perspectives across diverse social issues. To learn more and join the community, visit their website at: agoodspace.org.. . Please register here:. https://metmcsystemsthinking7dec.peatix.com/
19728855	Singapore-Sustainability-Meet-Up	37	0	265826538	Speak for Change!	past	2019-10-21 07:51:02	2019-11-16 13:30:00	0	7	7	4	NTUC Centre (Room 903, Level 9)	One Marina Boulevard	Singapore	Singapore	Join us for a day of inspiring stories of every day people making change REAL !. . About this Event. Spe. We understand that climate change is real and that bold action is needed urgently. But yet so many of us find it so hard to change even the smallest of our behaviors and habits.. . Why?. . One of the main barrier blocking us from making the change in our lifestyle is that we DON’T BELIEVE we can. Sometimes, the change may seem overwhelming like giving up the car or eating less meat. Or it may even feel counter-intuitive; like when we hear the mantra 'less is more' or when we are told to pay a premium for eco-friendly or organic products. And when we look around and we see friends and loved ones going about their lives as if it was business as usual, it is not surprising that we invariably stick our heads back into our little holes and continue living our un-environmentally aligned lives.. . We believe that to change our behavior, we need to first change our beliefs ! And to change our beliefs, we need new stories. Stories that we tell one another and more importantly stories that we tell ourselves. And when these stories are relatable and authentic, we will begin to believe that we can make the change too !. . Join us for a day of inspiring stories of everyday people who have made change REAL in their lives and in their communities.. . The event is jointly organised by Mother Earth & Thomson Toastmasters as well as J.O.E. Alliance; with venue kindly sponsored by YNTUC.
19728855	Singapore-Sustainability-Meet-Up	37	0	265554385	An Exploration of Thinking in Systems	past	2019-10-10 14:20:04	2019-10-26 14:00:00	0	10	10	1	NVPC	6 Eu Tong Sen St	Singapore	Singapore	https://motherearthtmc26oct2019.peatix.com/?fbclid=IwAR2E-FErvyPqqihRY36MZfPpMIFdGALaiuDi9CDLGaoiDcBw9VqSSODI9mY. . 'Today’s problems are yesterday’s solutions.”. – Peter Senge. . What: Systems Thinking Workshop. When: Oct 26, 2019, 2 - 5pm. Where: NVPC, 6 Eu Tong Sen Street, 04-88, Singapore. . This three hour ‘workshop’ will be an introduction to systems thinking. You will learn the basics of systems thinking tools to help make more simple the complexity we live in and make better decisions in our lives, for the society, business and government. In addition, building on the recent rise in global awareness, we will explore the Climate Crisis using our newfound systems thinking tools.. . Topics and tools include:. - Non-linearity and cause and effect relationships. - Senge’s Laws of Complexity. - Mapping Feedback loops. - Systems Archetypes. - The Climate Crisis. . Come share in the learning experience and a different conversation together this October 26, 2019 at 2 - 5pm. This workshop will be provided at a greatly reduced entrance fee ($15 - 20), covering venue and food costs, in order to promote a new level of awareness and thinking.. . We look forward to seeing you there!. . About the Facilitator. . Garrett Weiner is a leadership development consultant and coach, who holds closely the values of integrity, responsibility and compassion. His company, Alignment Coaching & Consulting, works with leaders and teams to open up new understandings and higher levels of sustainable and responsible performance. He is a ‘Climate Leader’ with Al Gore’s Climate Reality Project and a founding member of Mother Earth Toastmasters Club.
19728855	Singapore-Sustainability-Meet-Up	37	0	265055211	Eco-Technology 	past	2019-09-22 07:11:50	2019-10-16 18:30:00	0	12	12	5	NTUC Building	NTUC Centre, Level 7, Room 701, 1 Marina Boulevard	Singapore	Singapore	What is eco-technology? This term has been used interchangeably with clean, green and environmentally friendly technology. The genre of discussions and efforts revolve around people and businesses in the technological realm to be more sensitive of the environment.. . These would include considerations on impacts when deploying the latest and/or upgrading systems of mechanization, automation, machinery, industrial science and their components.. . The end goal then, is to work towards the removal and/or reduction of toxic waste whilst increasing efficiency and achieving desired societal advancement ambitions.. . Eco-technology whilst still in its infancy stage has made in-roads in providing some solutions for a more efficient and greener society. Come join us in October and listen to a variety of speeches as we share information on this. . www.eventbrite.com/e/eco-technology-tickets[masked] [masked]
19728855	Singapore-Sustainability-Meet-Up	37	0	262805404	Eco Responsibility 	past	2019-07-02 16:53:10	2019-07-17 18:30:00	0	5	5	3	NTUC Centre level 8, room 801	1 Marina Boulevard S018989	Singapore	Singapore	Responsibility is a dirty word. It is often viewed as a duty and maybe even a burden; something that ties you down from acting as you would if you were truly free.. . https://metmcjul19.eventbrite.com. . But responsibility has an empowering side too. It allows us to take ownship of our circumstance by being 'response-able'.. . And when we look at the state our planet is now and where it is headed... some eco-responsibility looks much needed.. . What do you think ?. . Join us on 17 Jul as we explore :. . a) what it means to be eco-responsible ?. b) what freedoms must we sacrifice ?. c) what benefits can come as a result ?. . The Mother Earth Toastmasters Club is a friendly community that strives to develop communication and public speaking skills on issues relating to sustainability, so that we may all speak for Mother Earth.. . Please feel free to bring guests along or invite friends you know. For guests, there is a small fee of $12 per adult or $5 per student to help cover the cost of our dinner (which we are told is one of the main reason why many of our guests keep coming back.). . https://metmcjul19.eventbrite.com
19728855	Singapore-Sustainability-Meet-Up	37	0	261457394	Explore Green Business 	past	2019-05-15 02:45:05	2019-06-19 18:30:00	0	7	7	1	NTUC Centre (Room 903, Level 9)	One Marina Boulevard	Singapore	Singapore	https://www.eventbrite.com/e/green-business-tickets-61770500229. . Businesses strive to stay in the black, that is to make profit.. . But short-term strategies and short-sighted costing, common in so many businesses, are damaging our planet beyond her ability to recover ... which cannot be sustainable practice for any business in the long term.. Maybe GREEN needs to be the new BLACK in business.... . What do you think ?. . Join us on 19 Jun as we explore :. . a) how going green can help businesses stay black by reducing their cost and increasing their revenue. . b) how consumers like you and I can influence businesses to go green. . c) how green business can turn the tide in the climate crisis.. . The Mother Earth Toastmasters Club is a friendly community that strives to develop communication and public speaking skills on issues relating to sustainability, so that we may all speak for Mother Earth.. . Please feel free to bring guests along or invite friends you know. For guests, there is a small fee of $12 per adult or $5 per student to help cover the dinner (which we promise will be delicious, healthy and sustainably sourced).. Read less
19728855	Singapore-Sustainability-Meet-Up	37	0	261057954	Speaking about Eco-Tourism...	past	2019-05-01 07:00:00	2019-05-15 18:30:00	0	6	6	1	NTUC Centre (Room 903, Level 9)	One Marina Boulevard	Singapore	Singapore	https://www.google.com.sg/amp/s/www.eventbrite.com/e/eco-tourism-tickets-60801482872/amp. . The summer break is a time for many to book a flight ticket out of Singapore. A recent study however has fingered tourism as being responsible for 8% of the world's greenhouse emissions. Is there a way for us to enjoy a holiday while actually contributing to the protection of the environment and local cultures, even as we get inspired to do more for Mother Earth?. . Join us at Mother Earth Toastmasters Club as we speak about 'Eco-tourism'. If you're up for it, you can even do an impromptu speech to share your eco holiday experience.. . Mother Earth Toastmasters Club is a friendly community that strives to develop communication and public speaking skills on issues relating to sustainability, so that we may speak for Mother Earth.. . Please feel free to bring guests along or invite friends you know. For guests, there is a small fee of $12 per adult or $5 per student to help cover the dinner (very delicious, homemade and sustainably managed).
19728855	Singapore-Sustainability-Meet-Up	37	0	260333872	Earth 2.0 - Imagining a Climate Resilient Future	past	2019-04-04 12:54:05	2019-04-17 18:45:00	0	5	5	0	NTUC Centre (Room 901, Level 9)	One, Marina Boulevard	Singapore 018989	Singapore	Climate scientists have rung the alarm for 30 years yet it seems our efforts are not enough to avert the global warming crisis, now at our doorstep. We have already hit a full degree Celsius above pre-industrial temperatures with the promise of more to come.. . Droughts, fires, floods, severe storms, erratic weather, sea level rise, ocean acidification, soil salinisation and more are threatening our ecosystems, societies and economies. Natural disasters, spread of diseases, heat waves, invasive species...these are just some of the effects of climate change that endanger our livelihoods and the future of our children.. . If we can no longer prevent, then we need to at least make the preparations needed to cope with the effects of climate change and adapt our global civilisation for what is ahead. Hard questions need to be asked, urgently and forcefully.. . Join us as we explore these issues. Please feel free to bring guests along or invite friends you know. There will be a small fee for guests to cover dinner (delicious and sustainably made). Payment is $12 for guests and $5 for students if made online (see below link), if not payment on arrival will be $15 for adults and $8 for students.. . https://www.eventbrite.com/e/earth-20-imagining-climate-resilient-future-tickets-59093659727. . Please register if you are planning to join us. For any enquires, find us on our website, Facebook group or email us at [masked]
19728855	Singapore-Sustainability-Meet-Up	37	0	259531235	Women with Wings	past	2019-03-06 23:28:14	2019-03-20 18:30:00	0	6	6	0	NTUC Centre (Room 903, Level 9)	One Marina Boulevard	Singapore	Singapore	https://www.eventbrite.com/e/women-with-wings-tickets-56900810857. . While a few countries and cultures continue to be patriarchal in nature, the majority of the world has found recent progress in creating greater equality amongst the gender divide.. . From the #MeToo movement to the number of women elected to Congress in the 2018 US elections (20%!), to the second female head of state in succession in Germany. Studies have shown that organisations with a more equal representation in management perform better financially and have less corruption.. . So come, find out more about how women are charting new ground and what that means for a more sustainable society. Join in the conversation and contribute your own thoughts as well.. . Meanwhile you get to enjoy the great food and community that Mother Earth Toast Masters Club has to offer.. . We hope and look forward to seeing you!. . https://www.eventbrite.com/e/women-with-wings-tickets-56900810857
19728855	Singapore-Sustainability-Meet-Up	37	0	253997135	Plastics (Mother Earth Toastmasters)	past	2018-08-22 11:33:43	2018-09-19 18:45:00	0	6	6	0	NTUC Centre (Room 901, Level 9)	One, Marina Boulevard	Singapore 018989	Singapore	Please come, enjoy the great food (home made) and conversation around the topic of plastics. Take the opportunity to speak and learn about public speaking on this important matter.. . Please register at https://www.eventbrite.com/e/plastic-tickets-48773053516?aff=ebdsorderfblightbox
