Keywords	Search Volume (Average)	Search Volume (Feb 2019)	Search Volume (Mar 2019)	Search Volume (Apr 2019)	Search Volume (May 2019)	Search Volume (Jun 2019)	Search Volume (Jul 2019)	Search Volume (Aug 2019)	Search Volume (Sep 2019)	Search Volume (Oct 2019)	Search Volume (Nov 2019)	Search Volume (Dec 2019)	Search Volume (Jan 2020)	Trend	total_volume
reusables	20.0	10.0	10.0	10.0	10.0	30.0	30.0	10.0	30.0	40.0	30.0	20.0	10.0	0.0	260.0
reusable straws	720.0	590.0	590.0	590.0	720.0	1000.0	1000.0	880.0	880.0	590.0	480.0	480.0	260.0	-56.0	8780.0
plastic bag	2400.0	1900.0	2400.0	2400.0	2400.0	1900.0	2900.0	2400.0	2400.0	2400.0	1900.0	1600.0	1900.0	0.0	28900.0
reuse	720.0	590.0	720.0	880.0	720.0	590.0	880.0	720.0	880.0	880.0	720.0	480.0	720.0	22.0	9500.0
ruth	590.0	590.0	720.0	720.0	590.0	480.0	590.0	590.0	480.0	590.0	480.0	480.0	590.0	0.0	7490.0
reusable bags	390.0	210.0	260.0	320.0	390.0	260.0	480.0	320.0	480.0	390.0	480.0	320.0	390.0	86.0	4690.0
reusable pads	210.0	140.0	170.0	170.0	170.0	170.0	210.0	320.0	320.0	320.0	260.0	170.0	210.0	50.0	2840.0
hello in greek	140.0	170.0	140.0	140.0	140.0	170.0	140.0	110.0	140.0	140.0	90.0	90.0	70.0	-59.0	1680.0
popote	110.0	140.0	140.0	90.0	210.0	170.0	210.0	70.0	70.0	40.0	30.0	30.0	20.0	-86.0	1330.0
eco friendly bags	90.0	50.0	50.0	90.0	70.0	70.0	110.0	110.0	90.0	70.0	110.0	50.0	90.0	80.0	1050.0
reuse meaning	90.0	70.0	90.0	70.0	70.0	50.0	110.0	90.0	110.0	90.0	110.0	70.0	110.0	57.0	1130.0
reusable food bags	90.0	30.0	50.0	70.0	40.0	90.0	90.0	140.0	140.0	110.0	140.0	90.0	90.0	200.0	1170.0
reusable plastic bags	70.0	70.0	50.0	50.0	70.0	70.0	110.0	110.0	90.0	70.0	70.0	70.0	90.0	29.0	990.0
reusable items	50.0	30.0	30.0	50.0	40.0	30.0	90.0	70.0	70.0	70.0	70.0	40.0	40.0	33.0	680.0
reusable packaging	40.0	30.0	40.0	40.0	30.0	20.0	30.0	30.0	50.0	50.0	30.0	20.0	50.0	67.0	460.0
bottle bag	40.0	50.0	40.0	40.0	40.0	30.0	30.0	50.0	50.0	50.0	40.0	40.0	50.0	0.0	550.0
