Month,Category,Count,,,,,,,,,,,
Feb-19,Alternatives for SUPs,4980,,,,,,,,,,,
Feb-19,Ban SUPs,100,,,,,,,,,,,
Feb-19,"Campaigns, Slogans, Initiatives",10,,,,,,,,,,,
Feb-19,Facts about SUPs,1870,,,,,,,,,,,
Mar-19,Alternatives for SUPs,5920,,,,,,,,,,,
Mar-19,Ban SUPs,100,,,,,,,,,,,
Mar-19,"Campaigns, Slogans, Initiatives",10,,,,,,,,,,,
Mar-19,Facts about SUPs,2020,,,,,,,,,,,
Apr-19,Alternatives for SUPs,8300,,,,,,,,,,,
Apr-19,Ban SUPs,140,,,,,,,,,,,
Apr-19,"Campaigns, Slogans, Initiatives",10,,,,,,,,,,,
Apr-19,Facts about SUPs,2460,,,,,,,,,,,
May-19,Alternatives for SUPs,9190,,,,,,,,,,,
May-19,Ban SUPs,140,,,,,,,,,,,
May-19,"Campaigns, Slogans, Initiatives",10,,,,,,,,,,,
May-19,Facts about SUPs,2500,,,,,,,,,,,
Jun-19,Alternatives for SUPs,9270,,,,,,,,,,,
Jun-19,Ban SUPs,90,,,,,,,,,,,
Jun-19,"Campaigns, Slogans, Initiatives",0,,,,,,,,,,,
Jun-19,Facts about SUPs,2340,,,,,,,,,,,
Jul-19,Alternatives for SUPs,11160,,,,,,,,,,,
Jul-19,Ban SUPs,260,,,,,,,,,,,
Jul-19,"Campaigns, Slogans, Initiatives",10,,,,,,,,,,,
Jul-19,Facts about SUPs,3000,,,,,,,,,,,
Aug-19,Alternatives for SUPs,9960,,,,,,,,,,,
Aug-19,Ban SUPs,180,,,,,,,,,,,
Aug-19,"Campaigns, Slogans, Initiatives",20,,,,,,,,,,,
Aug-19,Facts about SUPs,2520,,,,,,,,,,,
Sep-19,Alternatives for SUPs,16550,,,,,,,,,,,
Sep-19,Ban SUPs,200,,,,,,,,,,,
Sep-19,"Campaigns, Slogans, Initiatives",60,,,,,,,,,,,
Sep-19,Facts about SUPs,3600,,,,,,,,,,,
Oct-19,Alternatives for SUPs,8690,,,,,,,,,,,
Oct-19,Ban SUPs,190,,,,,,,,,,,
Oct-19,"Campaigns, Slogans, Initiatives",40,,,,,,,,,,,
Oct-19,Facts about SUPs,3650,,,,,,,,,,,
Nov-19,Alternatives for SUPs,12010,,,,,,,,,,,
Nov-19,Ban SUPs,200,,,,,,,,,,,
Nov-19,"Campaigns, Slogans, Initiatives",60,,,,,,,,,,,
Nov-19,Facts about SUPs,2980,,,,,,,,,,,
Dec-19,Alternatives for SUPs,9230,,,,,,,,,,,
Dec-19,Ban SUPs,80,,,,,,,,,,,
Dec-19,"Campaigns, Slogans, Initiatives",20,,,,,,,,,,,
Dec-19,Facts about SUPs,1730,,,,,,,,,,,
Jan-20,Alternatives for SUPs,6580,,,,,,,,,,,
Jan-20,Ban SUPs,160,,,,,,,,,,,
Jan-20,"Campaigns, Slogans, Initiatives",50,,,,,,,,,,,
Jan-20,Facts about SUPs,3040,,,,,,,,,,,
