,Category,Stage,Avg,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,total
2,Alternatives for SUPs,Action,10,0,0,10,0,10,0,10,0,0,0,0,0,40
3,Alternatives for SUPs,Action,10,10,10,0,10,0,0,0,0,0,0,0,0,40
6,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,0,10,0,0,0,20
7,Alternatives for SUPs,Action,10,0,0,10,10,10,0,10,10,10,10,0,10,90
8,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,10,0,0,0,0,20
14,Alternatives for SUPs,Action,10,0,0,0,10,0,0,0,0,0,0,0,0,20
15,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,0,0,10,10,10,40
25,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,0,10,10,10,120
28,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,10,10,10,130
32,Alternatives for SUPs,Action,10,10,10,10,10,0,10,10,0,10,0,0,10,90
55,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,10,10,10,130
64,Alternatives for SUPs,Action,10,10,0,0,0,0,0,0,0,10,0,0,0,30
65,Alternatives for SUPs,Action,10,0,0,0,10,0,0,0,0,0,0,0,0,20
66,Alternatives for SUPs,Action,10,10,10,0,0,0,0,0,0,0,10,0,0,40
67,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,0,0,10,110
68,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,0,0,10,110
69,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,0,0,10,0,0,20
70,Alternatives for SUPs,Action,10,0,0,0,0,0,0,10,0,0,0,0,0,20
71,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,0,0,0,10,0,20
72,Alternatives for SUPs,Action,10,0,10,0,0,0,10,0,0,0,10,0,0,40
73,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,0,0,10,0,0,20
74,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,10,0,0,0,0,20
75,Alternatives for SUPs,Action,10,0,0,0,0,0,0,10,10,0,0,0,0,30
76,Alternatives for SUPs,Action,10,10,0,0,10,10,0,0,0,0,0,0,10,50
77,Alternatives for SUPs,Action,10,0,0,0,0,10,0,0,0,0,0,0,0,20
78,Alternatives for SUPs,Action,10,0,0,0,0,10,0,0,0,0,0,0,0,20
